rank,seat,sector,name,title,company,location,flag,profileUrl
1,finance,produce/fresh,Sergio Albuerne,CFO,Agri Star Mexico,"Mexico City, Mexico",,https://www.linkedin.com/in/sergio-albuerne-7359a2b6
2,owner,produce/fresh,Victor Coronado,CEO,Alpe Fresh,Mexico City Metropolitan Area,,https://www.linkedin.com/in/victorcoronadoge
3,owner,produce/fresh,Randall Mills,Chief Executive Officer,Ant Farm Development Services,"Plano, TX",,https://www.linkedin.com/in/randall-mills-6273512
4,owner,produce/fresh,Sean Galloway,Business Owner,Bella's Farm Supply,"Gainesville, Florida, United States",,https://www.linkedin.com/in/sean-galloway-790902206
5,owner,produce/fresh,Ezio Bondi,Managing Partner,Bondi Produce and Specialty Foods,"Etobicoke, Ontario, Canada",,https://www.linkedin.com/in/ezio-bondi-095b8026
6,owner,produce/fresh,Scott Horner,Merchandiser/Broker/Consultant/Owner,EMP Everything Matters Produce Inc.,"Providence, RI",,https://www.linkedin.com/in/scott-horner-4558b2170
7,owner,produce/fresh,Carl Boyanton,President,Farmer Fresh Produce,"Diamondhead, Mississippi, United States",,https://www.linkedin.com/in/ACoAAAj1dMwBQVByE48_y74mqM2b3a6dBrdMeZs
8,owner,produce/fresh,DANIELA RIVERA,CEO,Farmers Fresh LLC.,"Goldsboro, North Carolina, United States",,https://www.linkedin.com/in/daniela-rivera-0b93a5273
9,owner,produce/fresh,Dean Mastronardi,President,Flavor Fresh Farms ,"Ontario, Canada",,https://www.linkedin.com/in/ACoAAAq6AGoBLU6sBYdS7BYli7buq1vg112kJr0
10,owner,produce/fresh,Victor Arriagada,Managing Director,Forever Fresh LLC,"Kennett Square, Pennsylvania, United States",,https://www.linkedin.com/in/victor-arriagada-5b144847
11,owner,produce/fresh,Evan Myers,Managing Director,Forever Fresh LLC,Greater Philadelphia,,https://www.linkedin.com/in/evan-myers-96049546
12,owner,produce/fresh,Christopher Rheault,President,Fresh Alliance,"Murrieta, California, United States",,https://www.linkedin.com/in/chrisrheault
13,finance,produce/fresh,Humberto Salazar,Corporate Controller and Director of FP&A,Fresh Express,Florida,,https://www.linkedin.com/in/humberto-salazar-2a00064a
14,finance,produce/fresh,Juan Diego Serna Torres,CFO,Ganfer Fresh,Monterrey Metropolitan Area,,https://www.linkedin.com/in/juandiegoserna
15,owner,produce/fresh,Crispin Rodriguez,Owner,Grower's Direct Produce Inc.,Visalia-Hanford Area,,https://www.linkedin.com/in/crispin-rodriguez-1b79aab8
16,owner,produce/fresh,Roger Zardo,Business Owner,JLZ Produce,"Watsonville, California, United States",,https://www.linkedin.com/in/roger-zardo-42264354
17,owner,produce/fresh,Bobby Hines,Chief Executive Officer,Kings River Packing,"Sanger, California, United States",,https://www.linkedin.com/in/bobby-hines-6488048b
18,owner,produce/fresh,Alejandro Knight,Chief Executive Officer,Marabella Produce,"San Antonio, Texas, United States",,https://www.linkedin.com/in/alejandro-knight-34705a219
19,owner,produce/fresh,Nick Politis,Chief Executive Officer,Mr. Greens Produce Inc.,"Miami, Florida, United States",,https://www.linkedin.com/in/nick-politis-a5b4b222
